year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,28.81.03.,Työnantajan palkkapoliittiset kehittämistoimenpiteet valtionhallinnossa,Valtiovarainministeriön hallinnonala,0,false,,3,12,2007-12-01,true,complete
2007,expense,28.81.25.,Euroopan unionin osallistuminen matkakustannusten korvauksiin,Kauppa- ja teollisuusministeriön hallinnonala,2758880.13,false,,285,12,2007-12-01,true,complete
2007,expense,28.81.28.,Julkishallinnon sähköisen tunnistamisen ja verkkomaksamisen -hanke,Valtiovarainministeriön hallinnonala,406559.31,false,,38,12,2007-12-01,true,complete
2007,expense,28.81.95.,"Lakiin tai asetukseen perustuvat menot, joita varten talousarvioon ei ole erikseen merkitty määrärahaa",,0,false,,1,12,2007-12-01,true,complete
2007,expense,28.81.96.,Edeltä arvaamattomat tarpeet,Valtiovarainministeriön hallinnonala,70000000,false,,4,12,2007-12-01,true,complete
2007,expense,28.82.44.,Isäntämaakorvaus Pohjoismaiden Investointipankille,Valtiovarainministeriön hallinnonala,5950275.69,false,,2,12,2007-12-01,true,complete
2007,expense,28.84.66.,Kansainvälisille rahoituslaitoksille annettujen sitoumusten lunastaminen,Valtiovarainministeriön hallinnonala,0,true,moved,1,12,2007-12-01,true,complete
2007,expense,28.84.68.,Suomen maksuosuus Pohjoismaiden Ympäristörahoitusyhtiön pääomasta,Valtiovarainministeriön hallinnonala,1232100,false,,2,12,2007-12-01,true,complete
2007,expense,28.90.69.,Maksut Euroopan unionille,Valtiovarainministeriön hallinnonala,1459776338.49,true,moved|moved|moved,42,12,2007-12-01,true,complete
2007,expense,28.99.41.,Tuki työnantajille,Valtiovarainministeriön hallinnonala,114865387.9,true,moved,12,12,2007-12-01,true,complete
2007,expense,28.99.63.,Verosta vapautuksen johdosta takaisin maksetut verot,Valtiovarainministeriön hallinnonala,1392499.25,true,moved|moved,37,12,2007-12-01,true,complete
2007,expense,28.99.95.,Valtion saatavien turvaaminen,Valtiovarainministeriön hallinnonala,41213.8,true,moved,13,12,2007-12-01,true,complete
2007,expense,28.99.97.,Verotukseen liittyvät korkomenot,Valtiovarainministeriön hallinnonala,12720191.9,true,moved|moved,26,12,2007-12-01,true,complete
